country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
PK,UNNAMED 16468,,16468,35.804401,74.893898,14_south_asia_west,,RGI50-14.04961,RGI60-14.04961,,,,,Information derived from RGI5.0. | GLIMS_ID: G074894E35804N (invalid)
PK,UNNAMED 16469,,16469,35.780899,75.685997,14_south_asia_west,,RGI50-14.04963,RGI60-14.04963,,,,,Information derived from RGI5.0. | GLIMS_ID: G075686E35781N (invalid)
PK,UNNAMED 16470,,16470,35.771,75.465698,14_south_asia_west,,RGI50-14.04975,RGI60-14.04975,,,,,Information derived from RGI5.0. | GLIMS_ID: G075466E35771N (invalid)
PK,UNNAMED 16471,,16471,35.770699,75.5,14_south_asia_west,,RGI50-14.04980,RGI60-14.04980,,,,,Information derived from RGI5.0. | GLIMS_ID: G075500E35771N (invalid)
PK,UNNAMED 16472,,16472,35.734798,75.738998,14_south_asia_west,,RGI50-14.04982,RGI60-14.04982,,,,,Information derived from RGI5.0. | GLIMS_ID: G075739E35735N (invalid)
PK,UNNAMED 16473,,16473,35.765099,75.153603,14_south_asia_west,,RGI50-14.04984,RGI60-14.04984,,,,,Information derived from RGI5.0. | GLIMS_ID: G075154E35765N (invalid)
PK,UNNAMED 16474,,16474,35.759499,74.955704,14_south_asia_west,,RGI50-14.04989,RGI60-14.04989,,,,,Information derived from RGI5.0. | GLIMS_ID: G074956E35760N (invalid)
PK,UNNAMED 16475,,16475,35.755699,75.282097,14_south_asia_west,,RGI50-14.05006,RGI60-14.05006,,,,,Information derived from RGI5.0. | GLIMS_ID: G075282E35756N (invalid)
PK,UNNAMED 16476,,16476,35.735001,75.306396,14_south_asia_west,,RGI50-14.05019,RGI60-14.05019,,,,,Information derived from RGI5.0. | GLIMS_ID: G075306E35735N (invalid)
PK,UNNAMED 16477,,16477,35.719398,75.128601,14_south_asia_west,,RGI50-14.05029,RGI60-14.05029,,,,,Information derived from RGI5.0. | GLIMS_ID: G075129E35719N (invalid)
PK,UNNAMED 16478,,16478,35.748299,74.980598,14_south_asia_west,,RGI50-14.05033,RGI60-14.05033,,,,,Information derived from RGI5.0. | GLIMS_ID: G074981E35748N (invalid)
